COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000277859559,364170,12APR2016,0.00,0.00,0.00
00000000000000000278016454,364170,14APR2016,0.00,0.00,0.00
00000000000000000278809433,364170,27APR2016,0.00,0.00,0.00
00000000000000000279366084,364170,06MAY2016,0.00,0.00,0.00
00000000000000000279635144,364170,11MAY2016,0.00,0.00,0.00
00000000000000000280484600,364170,26MAY2016,0.00,0.00,0.00
00000000000000000355035142,364170,16JUN2016,0.00,0.00,0.00
00000000000000000355201054,364170,20JUN2016,0.00,0.00,0.00
00000000000000000355201832,364170,20JUN2016,0.00,0.00,0.00
00000000000000000355375209,364170,22JUN2016,0.00,0.00,0.00
00000000000000000356002436,364170,01JUL2016,0.00,0.00,0.00
00000000000000000356092529,364170,04JUL2016,0.00,0.00,0.00
00000000000000000356488807,364170,11JUL2016,0.00,0.00,0.00
00000000000000000356956951,364170,18JUL2016,0.00,0.00,0.00
00000000000000000357219345,364170,21JUL2016,0.00,0.00,0.00
00000000000000000357594450,364170,25JUL2016,0.00,0.00,0.00
00000000000000000357917844,364170,01AUG2016,0.00,0.00,0.00
00000000000000000358271723,364170,08AUG2016,0.00,0.00,0.00
00000000000000000359169837,364170,29AUG2016,0.00,0.00,0.00
00000000000000000359764858,364170,09SEP2016,0.00,0.00,0.00
00000000000000000359886140,364170,12SEP2016,0.00,0.00,0.00
00000000000000000361582317,364170,05OCT2016,0.00,0.00,0.00
00000000000000000361872389,364170,10OCT2016,0.00,0.00,0.00
00000000000000000362479578,364170,13OCT2016,0.00,0.00,0.00
00000000000000000362585677,364170,14OCT2016,0.00,0.00,0.00
00000000000000000362991525,364170,20OCT2016,0.00,0.00,0.00
00000000000000000363780168,364170,31OCT2016,0.00,0.00,0.00
00000000000000000363901427,364170,02NOV2016,0.00,404.14,0.00
00000000000000000366431167,364170,05DEC2016,0.00,25.00,0.00
00000000000000000366633173,364170,09DEC2016,0.00,20.00,0.00
00000000000000000367278395,364170,19DEC2016,0.00,70.20,0.00
00000000000000000368522099,364170,10JAN2017,0.00,50.00,16.66
00000000000000000368854583,364170,13JAN2017,0.00,11.83,3.95
00000000000000000369005842,364170,16JAN2017,0.00,20.00,6.66
00000000000000000369486663,364170,23JAN2017,0.00,10.00,3.34
00000000000000000369971235,364170,30JAN2017,0.00,20.00,6.66
00000000000000000369971523,364170,30JAN2017,0.00,59.99,19.99
00000000000000000370394234,364170,03FEB2017,0.00,20.00,13.33
00000000000000000370937206,364170,13FEB2017,0.00,25.00,16.67
00000000000000000371716521,364170,23FEB2017,0.00,25.00,16.67
00000000000000000372477675,364170,06MAR2017,0.00,8.50,8.50
00000000000000000372949218,364170,13MAR2017,0.00,20.00,20.00
00000000000000000373032860,364170,14MAR2017,0.00,20.00,20.00
00000100000000001221707930,364170,05JAN2016,0.00,0.00,0.00
00000100000000001325514405,369083,05JAN2017,0.00,1003.11,757.90
00000000000000000016664166,380726,16DEC2004,100000.00,100000.00,15412.62
00000000000000000023912704,381056,05MAY2004,186000.00,150000.00,125509.22
00000000000000000262066411,381056,10AUG2015,0.00,0.00,0.00
00000000000000000263326330,381056,04SEP2015,0.00,0.00,0.00
00000000000000000265095346,381056,02OCT2015,0.00,0.00,0.00
00000000000000000267185384,381056,04NOV2015,0.00,0.00,0.00
00000000000000000269411756,381056,30NOV2015,0.00,0.00,0.00
00000000000000000271889356,381056,04JAN2016,0.00,0.00,0.00
00000000000000000273557246,381056,01FEB2016,0.00,0.00,0.00
00000000000000000275458853,381056,02MAR2016,0.00,0.00,0.00
00000000000000000277308650,381056,04APR2016,0.00,0.00,0.00
